round,misinfo
0.0,6433
0.02,7482
0.04,4387
0.06,44657
0.08,20740
0.1,12429
0.12,119250
0.14,134382
0.16,158614
0.18,335107
0.2,171750
0.22,214402
0.24,3998191
0.26,545030
0.28,956749
0.3,863029
0.32,6589619
0.34,2224369
0.36,2381223
0.38,5130651
0.4,4410629
0.42,12428927
0.44,7435022
0.46,5858738
0.48,6496705
0.5,11100096
0.52,18726351
0.54,3985587
0.56,3554403
0.58,3490121
0.6,2542341
0.62,2345191
0.64,3023877
0.66,1978610
0.68,4004501
0.7,2067492
0.72,1436448
0.74,1109916
0.76,1254347
0.78,9432775
0.8,657621
0.82,2299134
0.84,415178
0.86,134784
0.88,138041
0.9,197045
0.92,570974
0.94,33167
0.96,126260
0.98,36266
1.0,261994
1.02,13382
1.04,6832
1.06,13895
